rock_shoe_model,category_a,category_b,category_c,category_d,foot_volume,foot_type
Scarpa Reflex V,Drop 1.5 EU Sizes,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Vapour Lace Men's,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Vapour Lace Women's,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Low,Centre
Scarpa Vapour S,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Low,Classic
Scarpa Vapour S Women's,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Low,Classic
Scarpa Vapour V,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Vapour V LV,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Buy Shoe Size,Low,Centre
Scarpa Veloce,Drop 2.5 EU Sizes,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,High,Square
Scarpa Veloce Wmns,Drop 2.5 EU Sizes,Drop 2 EU Sizes,Drop 1.5 EU Sizes,Drop 1 EU Size,Medium,Square
Scarpa Velocity V,-,Drop 1 EU Size,Drop 1 EU Size,Buy Shoe Size,Medium,Centre
Scarpa Velocity V Wmns,-,Drop 1 EU Size,Drop 1 EU Size,Buy Shoe Size,Medium,Centre
Tenaya Iati,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Centre
Tenaya Indalo,Drop 2 UK Size,Drop 1.5 UK Size,Drop 1 UK Size,-,Low,Centre
Tenaya Inti,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Low,Centre
Tenaya Masai,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Low,Classic
Tenaya Mastia,Drop 2.5 UK Sizes,Drop 2 UK Sizes,Drop 1.5 UK size,-,Medium,Classic
Tenaya Oasi,Drop 2.5 UK Size,Drop 2 UK Size,-,-,Medium,Classic
Tenaya Oasi LV,Drop 2.5 UK Size,Drop 2 UK Size,-,-,Low,Classic
Tenaya Ra,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,-,Medium,Classic
Tenaya Tarifa,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,-,Medium,Classic
Unparallel Flagship Pro,,,,-,Medium,Centre
Unparallel Up Lace,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Medium,Centre
Unparallel Up Lace LV,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Low,Centre
Unparallel Lyra,Drop 1.5 UK Size,Drop 1 UK Size,Drop 0.5 UK Size,-,Low,Centre
Unparallel NewTro Lace,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Low,Centre
Unparallel Regulus,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,-,Medium,Centre
Unparallel Sirus,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,-,Low,Centre
Unparallel Souped UP,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Low,Centre
Unparallel TN Pro,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,-,Medium,Centre
Unparallel TN Pro LV,,,,-,Medium,Centre
Unparallel Qubit,,,,-,Medium,Centre
